Date,Confirmed and probable
2020-03-19,25
2020-03-20,32
2020-03-21,42
2020-03-22,48
2020-03-23,60
2020-03-24,72
2020-03-25,85
2020-03-26,114
2020-03-27,122
2020-03-28,140
2020-03-29,157
2020-03-30,170
2020-03-31,206
2020-04-01,229
2020-04-02,254
2020-04-03,342
2020-04-04,384
2020-04-05,410
2020-04-06,456
2020-04-07,503
2020-04-08,554
2020-04-09,615
2020-04-10,665
2020-04-11,723
2020-04-12,772
2020-04-13,794
2020-04-14,815
2020-04-15,890
2020-04-16,918
2020-04-17,959
2020-04-18,992
2020-04-19,1015
2020-04-20,1029
2020-04-21,1080
2020-04-22,1126
2020-04-23,1167
2020-04-24,1195
2020-04-25,1231
2020-04-26,1254
2020-04-27,1275
2020-04-28,1307
2020-04-29,1326
2020-04-30,1374
2020-05-01,1477
2020-05-02,1585
2020-05-03,1613
2020-05-04,1652
2020-05-05,1677
2020-05-06,1761
2020-05-07,1805
2020-05-08,1835
2020-05-09,1887
2020-05-10,1901
2020-05-11,1920
2020-05-12,1942
2020-05-13,1976
2020-05-14,2041
2020-05-15,2120
2020-05-16,2192
2020-05-17,2208
2020-05-18,2213
2020-05-19,2278
2020-05-20,2322
2020-05-21,2371
2020-05-22,2392
2020-05-23,2418
2020-05-24,2442
2020-05-25,2449
2020-05-26,2480
2020-05-27,2525
2020-05-28,2583
2020-05-29,2636
2020-05-30,2825
2020-05-31,2830
2020-06-01,2839
2020-06-02,2882
2020-06-03,2953
2020-06-04,3018
2020-06-05,3143
2020-06-06,3290
2020-06-07,3311
2020-06-08,3333
2020-06-09,3513
2020-06-10,3648
2020-06-11,3840
2020-06-12,4012
2020-06-13,4242
2020-06-14,4393
2020-06-15,4437
2020-06-16,4876
2020-06-17,5142
2020-06-18,5550
2020-06-19,5962
2020-06-20,6344
2020-06-21,6882
2020-06-22,7156
2020-06-23,7467
2020-06-24,7814
2020-06-25,8452
2020-06-26,8857
2020-06-27,9652
2020-06-28,10147
2020-06-29,10797
2020-06-30,12065
2020-07-01,12504
2020-07-02,12878
2020-07-03,14212
2020-07-04,14553
2020-07-05,14751
2020-07-06,15102
2020-07-07,15880
2020-07-08,16725
2020-07-09,17679
2020-07-10,18602
2020-07-11,19137
2020-07-12,19648
2020-07-13,20213
2020-07-14,21067
2020-07-15,21546
2020-07-16,27047
2020-07-17,27525
2020-07-18,28633
2020-07-19,30835
2020-07-20,31316
2020-07-21,31867
2020-07-22,33555
2020-07-23,34633
2020-07-24,34932
2020-07-25,35690
2020-07-26,36083
2020-07-27,36438
2020-07-28,37984
2020-07-29,38930
2020-07-30,40253
2020-07-31,40803
2020-08-01,41177
2020-08-03,41138
2020-08-04,41274
2020-08-05,41614
2020-08-06,41939
2020-08-07,42299
2020-08-08,42531
2020-08-09,42783
2020-08-10,42959
2020-08-11,43164
2020-08-12,43455
2020-08-13,43673
2020-08-14,43823
2020-08-15,43993
2020-08-16,44052
2020-08-17,44122
2020-08-18,44265
2020-08-19,44456
2020-08-20,44642
2020-08-21,44814
2020-08-22,45156
2020-08-23,45255
2020-08-24,45364
2020-08-25,45488
